Date,Revenue,Expenses,Profit
2024-01-01,10000,5000,5000
2024-01-02,12000,6000,6000
2024-01-03,15000,7500,7500
2024-01-01,10000,5000,5000
2024-01-02,12000,6000,6000
2024-01-03,15000,7500,7500
2024-01-01,10000,5000,5000
2024-01-02,12000,6000,6000
2024-01-03,15000,7500,7500
2024-01-01,10000,5000,5000
2024-01-02,12000,6000,6000
2024-01-03,15000,7500,7500
2024-01-01,10000,5000,5000
2024-01-02,12000,6000,6000
2024-01-03,15000,7500,7500
2024-01-01,10000,5000,5000
2024-01-02,12000,6000,6000
2024-01-03,15000,7500,7500
2024-01-01,10000,5000,5000
2024-01-02,12000,6000,6000
2024-01-03,15000,7500,7500
